name,stack,dirs,date,py_count
A - OLD / Parsing / Requests / WebParserSport,"['bs4', 'requests']",['A - OLD\\Parsing\\Requests\\WebParserSport'],2024-01-15 04:50:41,3
A - OLD / Parsing / Selenium / AvitoBot,"['bs4', 'fake_useragent', 'logging', 'os', 'pickle', 'proxy', 'random', 're', 'requests', 'selenium', 'seleniumwire', 'sqlite3', 'sys', 'time', 'unittest']",['A - OLD\\Parsing\\Selenium\\AvitoBot'],2024-01-15 04:51:09,4
A - OLD / Parsing / Selenium / Mvidia_parser,"['bs4', 'csv', 'googletrans', 'json', 'logging', 're', 'requests', 'selenium', 'sqlite3', 'ssl', 'test1', 'time', 'unicodedata', 'urllib3']",['A - OLD\\Parsing\\Selenium\\Mvidia_parser'],2024-01-15 04:51:09,2
A - OLD / PyKwork / SQLiTrainer,"['flask', 'sqlite3']",['A - OLD\\PyKwork\\SQLiTrainer'],2025-01-18 23:22:31,2
A - OLD / SPORT_1X / auto_1x,"['asyncio', 'bs4', 'captcha', 'config', 'configparser', 'contextlib', 'datetime', 'fake_useragent', 'logging', 'os', 'pickle', 'pyrogram', 'random', 're', 'requests', 'selenium', 'seleniumwire', 'sqlite3', 'sys', 'telethon', 'threading', 'time', 'tkinter', 'unittest']",['A - OLD\\SPORT_1X\\auto_1x'],2024-01-15 04:51:09,6
A - OLD / SPORT_1X / auto_1x / AutoReg_Vak_Sms,"['asyncio', 'bs4', 'configparser', 'datetime', 'fake_useragent', 'logging', 'os', 'pickle', 'proxy', 'random', 're', 'requests', 'selenium', 'seleniumwire', 'sqlite3', 'sys', 'test', 'threading', 'time', 'unittest']",['A - OLD\\SPORT_1X\\auto_1x\\AutoReg_Vak_Sms'],2024-01-15 04:51:09,4
A - OLD / SPORT_1X / auto_1x / tkinter,"['Pmw', '_tkinter', 'fileinput', 'pickle', 'time', 'tkinter']",['A - OLD\\SPORT_1X\\auto_1x\\tkinter'],2024-01-15 04:51:10,8
A - OLD / SPORT_1X / fotbal_api_parser,"['asyncio', 'calendar', 'json', 'openpyxl', 'requests', 'sqlite3', 'time']",['A - OLD\\SPORT_1X\\fotbal_api_parser'],2024-01-15 04:51:10,4
A - OLD / SPORT_1X / бот футбол_py,"['black_list_football', 'conf_football', 'configparser', 'connect_1xstavka_football', 'mysql', 'pprint', 'python_mysql_dbconfig', 'requests', 'telebot', 'time', 'traceback']",['A - OLD\\SPORT_1X\\бот футбол_py'],2024-01-15 04:51:10,5
A - OLD / TELEGRAM_OLD / Aiogram_Copy_Forward,"['aiogram', 'asyncio', 'config', 'datetime', 'googletrans', 'logging', 'random', 're', 'sqlite3']",['A - OLD\\TELEGRAM_OLD\\Aiogram_Copy_Forward'],2024-01-15 04:51:10,2
A - OLD / TELEGRAM_OLD / Bot_21_stavka_pyrogram,"['logging', 'pyrogram', 'pytube', 're', 'sqlite3']",['A - OLD\\TELEGRAM_OLD\\Bot_21_stavka_pyrogram'],2024-01-15 04:51:11,5
A - OLD / TELEGRAM_OLD / Instagram_DP_Saver_Bot-main,"['consts', 'instaloader', 'logging', 'os', 're', 'telegram', 'time', 'traceback']",['A - OLD\\TELEGRAM_OLD\\Instagram_DP_Saver_Bot-main'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / message_forward_bot,"['aiogram', 'asyncio', 'config', 'datetime', 'logging', 'os', 'sqlite3', 'tiktok_downloader', 'youtube_dl']",['A - OLD\\TELEGRAM_OLD\\message_forward_bot'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main,"['aiogram', 'apscheduler', 'asyncio', 'database', 'handlers', 'logging', 'middlewares', 'sqlalchemy', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main'],2024-01-15 04:50:41,2
A - OLD / TELEGRAM_OLD / omutchan-main / database,[],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\database'],2024-01-15 04:50:41,1
A - OLD / TELEGRAM_OLD / omutchan-main / database / contexts,"['aiogram', 'contextlib', 'database', 'dataclasses', 'datetime', 'enum', 'sqlalchemy', 'sys', 'typing', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\database\\contexts'],2024-01-15 04:50:41,9
A - OLD / TELEGRAM_OLD / omutchan-main / database / models,"['__future__', 'base', 'bill', 'chat', 'database', 'logging', 'luser', 'payment', 'personal_rp', 'rank', 're', 'reward', 'sqlalchemy', 'typing', 'user']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\database\\models'],2024-01-15 04:51:11,10
A - OLD / TELEGRAM_OLD / omutchan-main / filters,"['aiogram', 'handlers', 're', 'typing', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\filters'],2024-01-15 04:51:11,4
A - OLD / TELEGRAM_OLD / omutchan-main / handlers,"['aiogram', 'handlers']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers'],2024-01-15 04:51:11,1
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / cbq_groups,"['aiogram', 'database', 'datetime', 'filters', 'glQiwiApi', 'handlers', 'keyboards', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\cbq_groups'],2024-01-15 04:51:11,5
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / cbq_groups / shop,"['aiogram', 'database', 'datetime', 'keyboards', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\cbq_groups\\shop'],2024-01-15 04:51:11,11
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / errors,"['aiogram', 'handlers', 'logging']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\errors'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups,"['aiogram', 'any', 'balance', 'bonus', 'bot_stat', 'buy', 'database', 'donate', 'farm', 'filters', 'gender', 'info', 'lrp', 'migrate', 'nick', 'ping', 'reputation', 'rp', 'stat', 'subscribe', 'top_charts', 'transfer', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / balance,"['aiogram', 'database', 'dataclasses', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\balance'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / bonus,"['aiogram', 'database', 'dataclasses', 'datetime', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\bonus'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / bot_stat,"['aiogram', 'database', 'dataclasses', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\bot_stat'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / buy,"['aiogram', 'apscheduler', 'database', 'dataclasses', 'datetime', 'glQiwiApi', 'handlers', 'keyboards', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\buy'],2024-01-15 04:51:11,10
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / donate,"['aiogram', 'database', 'dataclasses', 'datetime', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\donate'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / farm,"['aiogram', 'database', 'dataclasses', 'datetime', 'keyboards', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\farm'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / gender,"['aiogram', 'database', 'dataclasses', 'handlers', 'keyboards']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\gender'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / info,"['aiogram', 'database', 'dataclasses', 'datetime', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\info'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / lrp,"['aiogram', 'database', 'dataclasses', 'handlers', 'keyboards', 're', 'typing', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\lrp'],2024-01-15 04:51:11,5
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / nick,"['aiogram', 'database', 'dataclasses', 'handlers', 're', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\nick'],2024-01-15 04:51:11,4
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / ping,"['aiogram', 'dataclasses', 'random']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\ping'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / reputation,"['aiogram', 'database', 'dataclasses', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\reputation'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / rp,"['aiogram', 'database', 'dataclasses', 'handlers', 'keyboards', 're', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\rp'],2024-01-15 04:51:11,5
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / stat,"['aiogram', 'database', 'dataclasses', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\stat'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / subscribe,"['aiogram', 'database', 'dataclasses', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\subscribe'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / top_charts,"['aiogram', 'database', 'dataclasses']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\top_charts'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / groups / transfer,"['aiogram', 'database', 'dataclasses', 'handlers', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\groups\\transfer'],2024-01-15 04:51:11,3
A - OLD / TELEGRAM_OLD / omutchan-main / handlers / users,"['aiogram', 'start']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\handlers\\users'],2024-01-15 04:51:11,2
A - OLD / TELEGRAM_OLD / omutchan-main / keyboards,[],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\keyboards'],2024-01-15 04:51:11,1
A - OLD / TELEGRAM_OLD / omutchan-main / keyboards / default,[],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\keyboards\\default'],2024-01-15 04:50:41,1
A - OLD / TELEGRAM_OLD / omutchan-main / keyboards / inline,['aiogram'],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\keyboards\\inline'],2024-01-15 04:51:11,7
A - OLD / TELEGRAM_OLD / omutchan-main / middlewares,"['aiogram', 'apscheduler', 'asyncio', 'cbq_groups', 'database', 'datetime', 'dignity', 'html', 'init_database', 'sqlalchemy', 'statistic', 'throttling', 'update_db', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\middlewares'],2024-01-15 04:51:11,8
A - OLD / TELEGRAM_OLD / omutchan-main / states,[],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\states'],2024-01-15 04:50:41,1
A - OLD / TELEGRAM_OLD / omutchan-main / utils,"['aiogram', 'aiohttp', 'dataclasses', 'datetime', 'environs', 'pytz', 'sqlalchemy', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\utils'],2024-01-15 04:51:11,4
A - OLD / TELEGRAM_OLD / omutchan-main / utils / misc,"['__future__', 'aiogram', 'apscheduler', 'asyncio', 'database', 'dataclasses', 'datetime', 'emoji', 'glQiwiApi', 'io', 'logging', 'matplotlib', 'pytz', 'random', 'sqlalchemy', 'throttling', 'typing', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\utils\\misc'],2024-01-15 04:51:12,8
A - OLD / TELEGRAM_OLD / omutchan-main / utils / misc / consts,"['__future__', 'dataclasses', 'random', 're', 'typing', 'utils']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\utils\\misc\\consts'],2024-01-15 04:50:41,4
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages,"['StringIO', '__future__', 'copy', 'functools', 'imp', 'importlib', 'io', 'itertools', 'operator', 'os', 'pkgutil', 'struct', 'sys', 'threading', 'types']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages'],2024-01-15 04:51:14,3
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / aiogram,"['aiogram', 'aiohttp', 'asyncio', 'bot', 'dispatcher', 'os', 'platform', 'rapidjson', 'sys', 'ujson', 'utils', 'uvloop']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\aiogram'],2024-01-15 04:51:12,2
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / aiohttp,"['_helpers', '_http_parser', '_websocket', 'abc', 'aiodns', 'aiohttp', 'aiosignal', 'argparse', 'async_timeout', 'asyncio', 'asynctest', 'attr', 'base64', 'base_protocol', 'binascii', 'brotli', 'cchardet', 'charset_normalizer', 'client', 'client_exceptions', 'client_proto', 'client_reqrep', 'client_ws', 'codecs', 'collections', 'concurrent', 'connector', 'contextlib', 'cookiejar', 'datetime', 'email', 'enum', 'formdata', 'frozenlist', 'functools', 'gc', 'gunicorn', 'hashlib', 'hdrs', 'helpers', 'html', 'http', 'http_exceptions', 'http_parser', 'http_websocket', 'http_writer', 'idna_ssl', 'importlib', 'inspect', 'io', 'ipaddress', 'itertools', 'json', 'keyword', 'locks', 'log', 'logging', 'math', 'mimetypes', 'multidict', 'multipart', 'netrc', 'os', 'pathlib', 'payload', 'payload_streamer', 'pickle', 'platform', 'pytest', 'random', 're', 'resolver', 'signal', 'socket', 'ssl', 'streams', 'string', 'struct', 'sys', 'tcp_helpers', 'tempfile', 'test_utils', 'time', 'tokio', 'traceback', 'tracing', 'typedefs', 'types', 'typing', 'typing_extensions', 'unittest', 'urllib', 'uuid', 'uvloop', 'warnings', 'weakref', 'web', 'web_app', 'web_exceptions', 'web_fileresponse', 'web_log', 'web_middlewares', 'web_protocol', 'web_request', 'web_response', 'web_routedef', 'web_runner', 'web_server', 'web_urldispatcher', 'web_ws', 'worker', 'yarl', 'zlib']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\aiohttp'],2024-01-15 04:51:12,45
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / aiosignal,['frozenlist'],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\aiosignal'],2024-01-15 04:51:12,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / asynch,"['asynch', 'asyncio', 'collections', 'connection', 'itertools', 'logging', 'pool', 'ssl', 'typing', 'urllib']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\asynch'],2024-01-15 04:51:12,5
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / async_timeout,"['asyncio', 'enum', 'sys', 'types', 'typing', 'typing_extensions', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\async_timeout'],2024-01-15 04:51:12,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / attr,"['_cmp', '_compat', '_config', '_funcs', '_make', '_next_gen', '_version_info', 'abc', 'collections', 'contextlib', 'converters', 'copy', 'enum', 'exceptions', 'functools', 'inspect', 'linecache', 'operator', 'platform', 're', 'sys', 'threading', 'types', 'typing', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\attr'],2024-01-15 04:51:12,13
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / attrs,['attr'],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\attrs'],2024-01-15 04:51:13,6
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / babel,"['StringIO', '__future__', 'array', 'ast', 'babel', 'bisect', 'cPickle', 'cStringIO', 'cdecimal', 'codecs', 'collections', 'copy', 'datetime', 'decimal', 'gettext', 'io', 'itertools', 'locale', 'os', 'pickle', 'pytz', 're', 'sys', 'textwrap', 'threading', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\babel'],2024-01-15 04:51:13,12
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / certifi,"['argparse', 'certifi', 'core', 'importlib', 'os', 'sys', 'types', 'typing']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\certifi'],2024-01-15 04:51:14,3
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / charset_normalizer,"['_multibytecodec', 'api', 'assets', 'cd', 'charset_normalizer', 'codecs', 'collections', 'constant', 'encodings', 'functools', 'hashlib', 'importlib', 'json', 'legacy', 'logging', 'md', 'models', 'os', 're', 'typing', 'unicodedata', 'utils', 'version']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\charset_normalizer'],2024-01-15 04:51:14,9
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / clickhouse_cityhash,[],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\clickhouse_cityhash'],2024-01-15 04:50:41,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / dateutil,"['__future__', '_common', '_version', 'calendar', 'datetime', 'dateutil', 'fractions', 'functools', 'heapq', 'itertools', 'math', 'operator', 're', 'six', 'sys', 'tz', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\dateutil'],2024-01-15 04:51:14,8
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / dotenv,"['IPython', 'abc', 'cli', 'click', 'codecs', 'collections', 'contextlib', 'io', 'ipython', 'json', 'logging', 'main', 'os', 'parser', 're', 'shlex', 'shutil', 'subprocess', 'sys', 'tempfile', 'typing', 'variables', 'version']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\dotenv'],2024-01-15 04:51:14,8
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / environs,"['collections', 'contextlib', 'dj_database_url', 'dj_email_url', 'django_cache_url', 'dotenv', 'functools', 'inspect', 'json', 'logging', 'marshmallow', 'os', 'pathlib', 're', 'types', 'typing', 'urllib']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\environs'],2024-01-15 04:51:14,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / frozenlist,"['_frozenlist', 'collections', 'functools', 'os', 'sys', 'types', 'typing']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\frozenlist'],2024-01-15 04:51:14,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / greenlet,"['__future__', '_greenlet']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\greenlet'],2024-01-15 04:51:14,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / idna,"['bisect', 'codec', 'codecs', 'core', 'intranges', 'package_data', 're', 'typing', 'unicodedata', 'uts46data']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\idna'],2024-01-15 04:51:14,8
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / kiwisolver,['_cext'],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\kiwisolver'],2024-01-15 04:51:14,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / leb128,['typing'],['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\leb128'],2024-01-15 04:51:14,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / lz4,"['_version', 'version']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\lz4'],2024-01-15 04:51:14,2
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / magic_filter,"['attrdict', 'functools', 'magic', 'magic_filter', 'operator', 'pkg_resources', 're', 'typing']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\magic_filter'],2024-01-15 04:51:14,6
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / marshmallow,"['__future__', 'abc', 'collections', 'copy', 'datetime', 'decimal', 'email', 'enum', 'functools', 'inspect', 'ipaddress', 'itertools', 'json', 'marshmallow', 'math', 'numbers', 'operator', 'packaging', 'pprint', 're', 'typing', 'uuid', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\marshmallow'],2024-01-15 04:51:14,13
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / multidict,"['_abc', '_compat', '_multidict', '_multidict_py', 'abc', 'array', 'collections', 'os', 'platform', 'sys', 'types']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\multidict'],2024-01-15 04:51:14,5
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / numpy,"['__future__', '_globals', '_version', 'builtins', 'core', 'ctypes', 'enum', 'glob', 'hypothesis', 'json', 'lib', 'matrixlib', 'numpy', 'os', 'pathlib', 'pytest', 'sys', 'tempfile', 'testing', 'version', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\numpy'],2024-01-15 04:51:14,12
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / packaging,"['_elffile', '_manylinux', '_parser', '_structures', '_tokenizer', 'abc', 'ast', 'collections', 'contextlib', 'ctypes', 'dataclasses', 'enum', 'functools', 'importlib', 'itertools', 'logging', 'markers', 'operator', 'os', 'platform', 're', 'specifiers', 'struct', 'subprocess', 'sys', 'sysconfig', 'tags', 'typing', 'urllib', 'utils', 'version', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\packaging'],2024-01-15 04:51:16,13
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / PIL,"['IPython', 'JpegImagePlugin', 'JpegPresets', 'MpoImagePlugin', 'PIL', 'PcxImagePlugin', 'PyQt5', 'PyQt6', 'PySide2', 'PySide6', 'TiffImagePlugin', 'TiffTags', '__future__', '_binary', '_deprecate', '_util', 'array', 'atexit', 'base64', 'builtins', 'calendar', 'cffi', 'codecs', 'collections', 'colorsys', 'copy', 'defusedxml', 'enum', 'features', 'fractions', 'functools', 'io', 'itertools', 'logging', 'math', 'mmap', 'numbers', 'numpy', 'olefile', 'operator', 'os', 'packaging', 'pathlib', 'random', 're', 'shlex', 'shutil', 'struct', 'subprocess', 'sys', 'tempfile', 'time', 'tkinter', 'warnings', 'zlib']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\PIL'],2024-01-15 04:51:16,94
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / pip,"['importlib', 'os', 'pip', 'runpy', 'sys', 'typing', 'warnings']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\pip'],2024-01-15 04:51:18,3
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / pkg_resources,"['__main__', '_imp', 'collections', 'email', 'errno', 'functools', 'imp', 'importlib', 'inspect', 'io', 'itertools', 'linecache', 'ntpath', 'operator', 'os', 'pkg_resources', 'pkgutil', 'platform', 'plistlib', 'posixpath', 're', 'stat', 'sys', 'sysconfig', 'tempfile', 'textwrap', 'time', 'types', 'warnings', 'zipfile', 'zipimport']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\pkg_resources'],2024-01-15 04:51:18,1
A - OLD / TELEGRAM_OLD / omutchan-main / venvs / Lib / site-packages / pyparsing,"['abc', 'actions', 'collections', 'common', 'contextlib', 'copy', 'core', 'datetime', 'diagram', 'enum', 'exceptions', 'functools', 'helpers', 'html', 'inspect', 'itertools', 'operator', 'os', 'pathlib', 'pdb', 'pprint', 're', 'results', 'string', 'sys', 'testing', 'threading', 'traceback', 'types', 'typing', 'unicode', 'util', 'warnings', 'weakref']",['A - OLD\\TELEGRAM_OLD\\omutchan-main\\venvs\\Lib\\site-packages\\pyparsing'],2024-01-15 04:51:18,10
